Date,XLU,XLV,DIA,GDX,XLE,XLY,VNQ,XLK,XLF,XLP,IHI,XRT,RXI,IYW,VIS,KBE,SIL,FXU,SHY
2010-01-05,21.331546783447266,26.27724266052246,83.43102264404297,45.022560119628906,45.15524673461914,26.062828063964844,29.835811614990234,19.74876594543457,7.867852210998535,20.347875595092773,51.207191467285156,15.977895736694336,38.267982482910156,53.223628997802734,44.45252990722656,18.75449562072754,,11.537471771240234,76.095703125
2010-01-06,21.456575393676758,26.545896530151367,83.4863510131836,46.116111755371094,45.695987701416016,26.09745216369629,29.782161712646484,19.527822494506836,7.88362979888916,20.332624435424805,51.78800582885742,16.123676300048828,38.28520202636719,52.849979400634766,44.56203842163086,18.999711990356445,,11.552407264709473,76.10485076904297
2010-01-07,21.359331130981445,26.63823890686035,83.7868881225586,45.89179611206055,45.627445220947266,26.3138484954834,30.104001998901367,19.451343536376953,8.05192756652832,20.332624435424805,52.01652145385742,16.1678524017334,38.47478485107422,52.649471282958984,45.109580993652344,19.794540405273438,,11.507599830627441,76.08651733398438
2010-01-08,21.33849334716797,26.680217742919922,83.92134857177734,46.58343505859375,45.924468994140625,26.305194854736328,29.882740020751953,19.57880973815918,8.004591941833496,20.263986587524414,52.073646545410156,16.13251495361328,38.78498840332031,53.05045700073242,45.70767593383789,19.718435287475586,,11.462793350219727,76.15972900390625
2010-01-11,21.560773849487305,26.831329345703125,84.26145935058594,46.89188003540039,45.86353302001953,26.253253936767578,30.05706214904785,19.502328872680664,8.009848594665527,20.31736946105957,52.39738082885742,16.08391571044922,38.94871139526367,52.79527282714844,46.13729476928711,19.72689437866211,,11.567342758178711,76.19631958007812
2010-01-12,21.47046661376953,26.63823890686035,83.94508361816406,45.190799713134766,45.20094299316406,25.915679931640625,29.554201126098633,19.289880752563477,7.894145965576172,20.43177032470703,51.892757415771484,15.97347354888916,38.6126594543457,52.157325744628906,45.67397689819336,19.397127151489258,,11.492668151855469,76.26041412353516
2010-01-13,21.70663833618164,26.9908390045166,84.42748260498047,45.66747283935547,45.36849594116211,26.209978103637695,30.15093231201172,19.476839065551758,7.983556270599365,20.576677322387695,52.349788665771484,16.150175094604492,38.92286682128906,52.640350341796875,45.95195770263672,19.72689437866211,,11.604680061340332,76.19631958007812
2010-01-14,21.609390258789062,27.23430061340332,84.64900207519531,45.42445755004883,45.49796676635742,26.209978103637695,30.124113082885742,19.527822494506836,8.020369529724121,20.515657424926758,52.72112274169922,16.017658233642578,39.16413116455078,53.04137420654297,45.909854888916016,20.02283477783203,,11.567342758178711,76.26958465576172
2010-01-15,21.47046661376953,27.049610137939453,83.84221649169922,44.32156753540039,45.13239288330078,25.950302124023438,29.89615249633789,19.25589370727539,7.857330322265625,20.416513442993164,52.20695877075195,15.827713012695312,38.92286682128906,52.32137680053711,45.3791389465332,19.583148956298828,,11.507599830627441,76.33358001708984
2010-01-19,21.720535278320312,27.70443344116211,84.75971221923828,44.57392120361328,45.543663024902344,26.29653549194336,30.50627326965332,19.587308883666992,7.95725679397583,20.538543701171875,53.263851165771484,15.964643478393555,39.0521125793457,53.1142578125,45.78349304199219,19.78607940673828,,11.61961555480957,76.35192108154297
2010-01-20,21.49131202697754,27.4693660736084,83.85015869140625,42.74198913574219,44.835384368896484,25.941646575927734,30.164339065551758,19.27288818359375,7.936221599578857,20.386011123657227,52.84489822387695,15.832124710083008,38.31106185913086,52.33961486816406,45.19382858276367,20.048206329345703,,11.507599830627441,76.35192108154297
2010-01-21,21.178733825683594,26.873302459716797,82.02322387695312,40.891361236572266,43.92145919799805,25.612720489501953,29.2994327545166,19.068946838378906,7.710073471069336,20.096202850341797,51.84514236450195,15.575907707214355,38.078392028808594,51.82012176513672,44.24192810058594,20.01438331604004,,11.35078239440918,76.41590881347656
2010-01-22,20.713342666625977,26.5794734954834,80.378173828125,40.92875671386719,42.8780632019043,25.119342803955078,28.56191635131836,18.40611457824707,7.457627296447754,20.05043601989746,51.69279861450195,15.337364196777344,37.199459075927734,49.806007385253906,43.424827575683594,19.41402816772461,,11.096881866455078,76.47994232177734
2010-01-25,20.85226821899414,26.5794734954834,80.599609375,40.36794662475586,43.159854888916016,25.249170303344727,28.763063430786133,18.5590763092041,7.4997029304504395,20.08857536315918,51.80705261230469,15.465473175048828,37.483821868896484,50.18878173828125,43.60171127319336,19.447860717773438,,11.19395923614502,76.41590881347656
2010-01-26,20.93561363220215,26.428356170654297,80.57591247558594,40.3118782043457,42.88568115234375,25.283798217773438,28.494871139526367,18.508098602294922,7.368221282958984,20.065690994262695,51.63566970825195,15.438968658447266,37.41488265991211,50.124977111816406,43.53432083129883,19.08426856994629,,11.164092063903809,76.42507934570312
2010-01-27,20.79669952392578,26.613056182861328,80.90803527832031,39.97539520263672,42.7181282043457,25.327077865600586,28.749652862548828,18.661046981811523,7.547038555145264,20.1114501953125,51.35953140258789,15.52289867401123,37.07021713256836,50.43484878540039,43.559608459472656,19.608516693115234,,11.037141799926758,76.39761352539062
2010-01-28,20.63692283630371,26.445146560668945,80.03807830810547,39.41459274291992,42.268795013427734,25.179935455322266,28.501588821411133,18.125696182250977,7.510221004486084,20.058059692382812,50.81680679321289,15.31969928741455,36.8203239440918,49.03134536743164,42.96151351928711,19.701522827148438,,11.044608116149902,76.4342269897461
